ďťżDate, Open, High, Low, Close, Volume
6-Oct-14,204.30,206.65,203.25,206.10,49299845
3-Oct-14,201.15,204.25,199.80,203.85,44717547
2-Oct-14,203.50,204.95,199.57,199.57,46180326
1-Oct-14,203.85,205.40,203.05,204.12,41870210
30-Sep-14,206.90,214.50,204.20,204.40,56485057
29-Sep-14,205.65,207.80,204.40,206.75,37460093
26-Sep-14,204.50,206.57,203.65,204.95,32438209
25-Sep-14,204.75,210.95,204.30,204.75,72941480
24-Sep-14,199.45,204.55,199.15,204.25,70303594
23-Sep-14,200.50,208.00,197.85,198.65,45001870
22-Sep-14,203.35,204.33,201.30,201.50,34971827
19-Sep-14,205.00,206.45,204.20,204.65,86768758
18-Sep-14,202.95,204.09,201.25,203.30,45675349
17-Sep-14,202.75,202.95,200.82,200.90,38722883
16-Sep-14,201.40,201.45,199.15,201.35,39454643
15-Sep-14,202.35,204.74,201.00,201.50,36015038
12-Sep-14,203.85,204.40,202.30,203.65,34352492
11-Sep-14,206.00,206.45,199.60,203.45,64469078
10-Sep-14,206.65,207.10,204.10,205.05,30935740
9-Sep-14,205.80,207.50,205.80,206.25,30035525
8-Sep-14,205.85,205.90,203.10,205.45,38026706
5-Sep-14,209.70,209.85,202.19,206.00,49796137
4-Sep-14,210.20,211.00,208.79,209.40,43255327
3-Sep-14,209.30,213.50,209.27,209.70,57692597
2-Sep-14,207.75,210.02,205.50,208.90,51678069
1-Sep-14,206.00,207.70,206.00,206.70,17099850
29-Aug-14,206.95,208.45,205.50,206.75,48889461
28-Aug-14,207.95,208.00,206.15,207.35,29597288
27-Aug-14,205.80,208.07,205.45,207.65,28417315
26-Aug-14,207.80,208.12,205.45,206.00,37866869
22-Aug-14,204.50,206.60,203.30,205.85,81143672
21-Aug-14,200.85,202.85,200.20,202.60,30269757
20-Aug-14,201.50,202.25,200.40,201.15,25373600
19-Aug-14,201.05,202.70,199.88,202.20,36780264
18-Aug-14,199.10,200.65,199.10,200.00,34099821
15-Aug-14,196.40,198.95,196.10,197.55,36326086
14-Aug-14,197.35,198.38,195.95,196.30,31569067
13-Aug-14,195.05,198.10,194.55,197.20,41340995
12-Aug-14,194.65,194.67,192.44,193.50,28107684
11-Aug-14,192.10,194.05,191.24,193.50,34988073
8-Aug-14,193.40,193.90,191.30,191.90,60655233
7-Aug-14,197.25,198.65,195.65,195.95,37327445
6-Aug-14,195.80,200.95,195.55,199.34,67365472
5-Aug-14,197.00,197.30,195.10,195.75,26781968
4-Aug-14,196.70,198.04,196.00,196.40,29505816
1-Aug-14,198.05,198.45,194.65,196.45,42583763
31-Jul-14,201.30,202.25,197.20,198.10,59125003
30-Jul-14,203.85,204.40,201.85,202.20,36229451
29-Jul-14,203.10,205.45,201.39,202.15,36723476
28-Jul-14,201.00,203.05,199.98,202.05,38894327
25-Jul-14,199.00,203.90,198.00,202.05,83427119
24-Jul-14,197.25,198.33,195.95,197.85,31727076
23-Jul-14,196.00,198.95,195.75,197.00,53934821
22-Jul-14,194.75,196.28,192.45,195.65,41853787
21-Jul-14,195.25,196.50,193.85,194.40,25964011
18-Jul-14,194.00,195.90,192.40,195.25,59449546
17-Jul-14,195.55,196.40,194.15,195.27,46146244
16-Jul-14,195.00,197.13,194.45,195.90,50474863
15-Jul-14,192.70,194.96,192.40,194.96,62510383
14-Jul-14,189.55,193.50,189.55,192.10,45306044
11-Jul-14,190.00,196.57,187.95,189.45,35439961
10-Jul-14,191.20,191.20,187.35,188.95,55377786
9-Jul-14,190.70,197.20,188.75,191.00,46026972
